SITE NAME,SITE LATITUDE,SITE LONGITUDE,SAMPLE ID,NUMBER IN COMPOSITE,SAMPLING LOCATION,INVERT ORDER RANK MIX,INVERT FAMILY RANK MIX,LOWEST TAXON RANK MIX,LIFE STAGE,TROPHIC GROUP,WHOLE BODY COMPOSITE MEHG NG/G DW,d13C,d15N,COLLECTION DATE,JULIAN DATE
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0627,30,Aquatic,Gastropod,Lymnaeidae,Lymnaeidae,adult,non-predator,22.7,-21.16,7.53,7/2/2013,183
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0638,16,Aquatic,Gastropod,Physidae,Physidae,adult,non-predator,33.6,-21.34,8.34,7/2/2013,183
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0643,21,Aquatic,Gastropod,Pleuroceridae,Pleuroceridae,adult,non-predator,12.3,-18.69,8.41,7/2/2013,183
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0828,90,Terrestrial,Hemiptera,Hemiptera,Hemiptera,adult,non-predator,0.908,-26.92,4.2,7/2/2013,183
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0703,2,Terrestrial,Hymenoptera,Hymenoptera,Hymenoptera,adult,non-predator,0.47333331,-25.91,3.62,7/2/2013,183
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0810,3,Terrestrial,Lepidoptera,Lepidoptera,Lepidoptera_larvae,larvae,non-predator,1.55,-32.95,1.62,7/2/2013,183
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0840,14,Terrestrial,Lepidoptera,Lepidoptera,Lepidoptera_adult,adult,non-predator,15.2,-27.63,4.32,7/2/2013,183
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0572,2,Aquatic,Odonata,Coenagrionidae,Coenagrionidae,larvae,predator,72.6,-23.12,10,7/2/2013,183
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0838,3,Terrestrial,Orthoptera,Orthoptera,Orthoptera,adult,non-predator,0.784,-29.78,1.86,7/2/2013,183
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0551,35,Aquatic,Trichoptera,Glossosomatidae,Glossosomatidae,larvae and pupae,non-predator,9.79,-18.4,7.96,7/2/2013,183
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0522,18,Aquatic,Trichoptera,Hydropsychidae,Hydropsychidae,larvae,non-predator,31.8,-25.61,6.84,7/2/2013,183
Willamette Park,44.54109801,-123.2461834,13BUGS0541,60,Aquatic,Amphipoda,Amphipoda,Amphipoda,adult,non-predator,34.7,-21.06,14.48,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0825,174,Terrestrial,Araneae,Spider composite,Spider composite,adult,predator,52.4,-25.33,8.22,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0785,8,Terrestrial,Araneae,Tetragnathidae,Tetragnathidae,adult,predator,122,-23.77,11.79,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0737,11,Terrestrial,Coleoptera,Coleoptera,Coleoptera,adult,non-predator,1.62,-27.57,2.92,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0542,10,Aquatic,Coleoptera,Dytiscidae,Dytiscidae,adult,predator,46,-20.51,12.21,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0839,2,Terrestrial,Dermaptera,Dermaptera,Dermaptera,adult,non-predator,1.44,-27.51,2.13,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0516,32,Aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,larvae,non-predator,19.1,-22.71,11.84,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0943,54,Aquatic,Ephemeroptera,Heptageniidae,Heptageniidae,larvae,non-predator,14.3,-23.21,12,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0956,37,Aquatic,Gastropod,Pleuroceridae,Pleuroceridae,adult,non-predator,24.3,-21.63,13.12,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0829,115,Terrestrial,Hemiptera,Hemiptera,Hemiptera,adult,non-predator,2.19,-28.8,5.13,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0788,4,Terrestrial,Hymenoptera,Hymenoptera,Hymenoptera,adult,non-predator,17.3,-26.01,8.47,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0805,7,Terrestrial,Lepidoptera,Lepidoptera,Lepidoptera_larvae,larvae,non-predator,0.99,-29.73,1.08,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0819,5,Terrestrial,Opiliones,Opiliones,Opiliones,adult,predator,16.1,-26.39,6.36,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0947,20,Aquatic,Plecoptera,Chloroperlidae,Chloroperlidae,larvae,predator,31.8,-21.65,13.21,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0951,14,Aquatic,Plecoptera,Perlidae,Perlidae,larvae,predator,25,-20.61,14.14,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0532,6,Aquatic,Trichoptera,Hydropsychidae,Hydropsychidae,larvae,non-predator,24.4,-23.12,11.8,6/7/2013,158
Willamette Park,44.54109801,-123.2461834,13BUGS0511,1,Aquatic,Trichoptera,Limnephilidae,Limnephilidae,larvae,non-predator,13.4,-20.07,11.59,6/7/2013,158
